ClusterID;ClusterName;Cores;Speed;Memory;numberOfHosts;memoryCapacityPerHost;coreCountPerHost
A03;TC3/A03;256;3.2;2048;16;128;16
A05;TC3/A05;144;2.93;1152;16;96;12
A07;TC3/A07;256;2.6;2048;16;128;16
B04;TC4/B04;256;3.2;2048;16;128;16
B06;TC4/B06;256;2.6;2048;16;128;16
B08;TC4/B08;256;2.6;2048;16;128;16
C09;TC5/C09;256;2.6;2048;16;128;16
C10;TC5/C10;256;2.6;2048;16;128;16
C11;TC5/C11;256;2.6;2048;16;128;16
C12;TC5/C12;192;2.7;4536;6;756;32
B13;TC4/B13;192;2.7;4536;6;756;32
A14;TC3/A14;192;2.7;4536;6;756;32
