Time_minutes Average_cpu_utilization intermediate_powerdraw_kJ total_powerdraw_kJ cpu_demand cpu_usage cpu_idle_time overall_power_efficiency intermediate_power_efficiency hosts_up hosts_down servers_active servers_pending attemps_success attempts_failure attemps_error
5 0.0 2820.72 2820.72 0.0 0.0 835200 0.0 0.0 162 0 0 4 0 0 0
10 1.4861432613172742E-5 2838.3195091099687 5659.039509109968 123.26666666669999 123.26666666669999 1679988 0.02178225942198571 0.04342945403822897 162 0 4 0 4 0 0
15 1.459619341564188E-5 2838.520911828656 8497.560420938626 121.06666666670002 121.06666666670002 2524777 0.02875335051826691 0.042651321032088296 162 0 4 0 4 0 0
20 1.4628343621407214E-5 2838.5215312479377 11336.081952186563 121.33333333339999 121.33333333339999 3369565 0.03225688277564615 0.04274525734531123 162 0 4 0 4 0 0
25 1.469264403292583E-5 2838.522768745875 14174.604720932439 121.8666666667 121.8666666667 4214354 0.034394845072013326 0.042933129869007006 162 0 4 0 4 0 0
30 1.4941808127567997E-5 2838.5275640465156 17013.132284978958 123.9333333333 123.9333333333 5059142 0.03594086358845685 0.04366113435115794 162 0 4 0 4 0 0
35 1.6002764917691457E-5 2838.547982744438 19851.680267723394 132.7333333333 132.7333333333 5903930 0.03748801058468012 0.04676099686888765 162 0 4 0 4 0 0
40 1.4981995884765625E-5 2838.5283375654844 22690.208605288877 124.2666666666 124.2666666666 6748718 0.03827495294442857 0.04377855419727096 162 0 4 0 4 0 0
45 1.4620306069962868E-5 2838.5213765857034 25528.72998187458 121.2666666667 121.2666666667 7593507 0.038769391741622534 0.04272177326794164 162 0 4 0 4 0 0
50 1.4933770576123649E-5 2838.5274093548906 28367.257391229472 123.86666666660001 123.86666666660001 8438295 0.03925652679924921 0.04363765037405472 162 0 4 0 4 0 0
55 1.4845357510296106E-5 2838.525707818172 31205.783099047647 123.13333333340002 123.13333333340002 9283084 0.039631542954970525 0.043379326456072946 162 0 4 0 4 0 0
60 1.4499742798357929E-5 2838.519056272172 34044.30215531982 120.2666666667 120.2666666667 10127872 0.039859827168995235 0.04236951180614805 162 0 4 0 4 0 0
65 1.4917695473259064E-5 2838.527099973188 36882.82925529301 123.73333333339997 123.73333333339997 10972661 0.04014695627291125 0.043590682412216086 162 0 4 0 4 0 0
70 1.4821244855963055E-5 2838.525243756187 39721.354499049194 122.93333333329997 122.93333333329997 11817449 0.0403729099093332 0.043308874424743085 162 0 4 0 4 0 0
