Time_minutes Average_cpu_utilization intermediate_powerdraw_kJ total_powerdraw_kJ cpu_demand cpu_usage cpu_idle_time overall_power_efficiency intermediate_power_efficiency hosts_up hosts_down servers_active servers_pending attemps_success attempts_failure attemps_error
5 0.0 2820.72 2820.72 0.0 0.0 835200 0.0 0.0 162 0 0 4 0 0 0
10 1.4861432613172745E-5 2838.526016234109 5659.246016234109 123.26666666669999 123.26666666669999 1679986 0.021781464582578194 0.04342629447879385 162 0 4 0 4 0 0
15 1.459619341564188E-5 2838.520912517016 8497.766928751125 121.06666666669999 121.06666666669999 2524775 0.028752651770988083 0.04265132102174506 162 0 4 0 4 0 0
20 1.4628343621407214E-5 2838.5215312479377 11336.288459999065 121.33333333339999 121.33333333339999 3369564 0.03225629516724826 0.04274525734531123 162 0 4 0 4 0 0
25 1.469264403292583E-5 2838.522768745875 14174.811228744938 121.86666666670001 121.86666666670001 4214353 0.034394343985677686 0.04293312986900701 162 0 4 0 4 0 0
30 1.4941808127567997E-5 2838.5275640465156 17013.338792791455 123.9333333333 123.9333333333 5059141 0.0359404273384527 0.04366113435115794 162 0 4 0 4 0 0
35 1.6002764917691453E-5 2838.547982744438 19851.88677553589 132.7333333333 132.7333333333 5903928 0.03748762061836868 0.04676099686888765 162 0 4 0 4 0 0
40 1.4981995884765625E-5 2838.5283375654844 22690.41511310138 124.26666666659999 124.26666666659999 6748716 0.03827460460012694 0.043778554197270954 162 0 4 0 4 0 0
45 1.4620306069962868E-5 2838.5213765857034 25528.936489687083 121.26666666669999 121.26666666669999 7593505 0.03876907812956573 0.04272177326794163 162 0 4 0 4 0 0
50 1.4933770576123649E-5 2838.5274093548906 28367.463899041973 123.8666666666 123.8666666666 8438293 0.039256241021870426 0.04363765037405471 162 0 4 0 4 0 0
55 1.4845357510296103E-5 2838.525707818172 31205.989606860145 123.13333333339999 123.13333333339999 9283082 0.03963128069047114 0.04337932645607293 162 0 4 0 4 0 0
60 1.4499742798357926E-5 2838.519056272172 34044.508663132314 120.2666666667 120.2666666667 10127872 0.039859585386515815 0.04236951180614805 162 0 4 0 4 0 0
