Time_minutes Average_cpu_utilization intermediate_powerdraw_kJ total_powerdraw_kJ cpu_demand cpu_usage cpu_idle_time overall_power_efficiency intermediate_power_efficiency hosts_up hosts_down servers_active servers_pending attemps_success attempts_failure attemps_error
5 0.0 2820.72 2820.72 0.0 0.0 835200 0.0 0.0 162 0 0 4 0 0 0
10 8.806774881880144E-6 2838.409491101694 5659.129491101694 123.26666666669999 123.26666666669999 1679985 0.0217819130770063 0.04342807725704705 162 0 4 0 4 0 0
15 8.64959609815815E-6 2838.4064666767504 8497.535957778444 121.06666666669999 121.06666666669999 2524771 0.028753433294947468 0.042653040742415826 162 0 4 0 4 0 0
20 8.668648071945017E-6 2838.406833332111 11335.942791110556 121.33333333339999 121.33333333339999 3369557 0.03225727876410503 0.04274698464947052 162 0 4 0 4 0 0
25 8.706752019511604E-6 2838.407566664222 14174.35035777478 121.86666666670001 121.86666666670001 4214345 0.03439546229828324 0.042934872390409114 162 0 4 0 4 0 0
30 8.85440481633659E-6 2838.410408323861 17012.76076609864 123.9333333333 123.9333333333 5059130 0.035941648452805536 0.043662936469601364 162 0 4 0 4 0 0
35 9.483119951224565E-6 2838.422508293 19851.183274391642 132.7333333333 132.7333333333 5903916 0.03748894913282728 0.046763063971446785 162 0 4 0 4 0 0
40 8.878219783564814E-6 2838.4108667054716 22689.594141097117 124.26666666659999 124.26666666659999 6748701 0.03827598948073148 0.043780366022497526 162 0 4 0 4 0 0
45 8.663885078496514E-6 2838.4067416804173 25528.000882777535 121.26666666669999 121.26666666669999 7593488 0.03877049902490107 0.04272349867479059 162 0 4 0 4 0 0
50 8.849641822888088E-6 2838.4103166547497 28366.41119943229 123.8666666666 123.8666666666 8438274 0.039257697851545176 0.043639450554345816 162 0 4 0 4 0 0
55 8.797248894990285E-6 2838.4093083366943 31204.82050776898 123.13333333339999 123.13333333339999 9283061 0.03963276548972597 0.04338110538594451 162 0 4 0 4 0 0
60 8.5924401768047E-6 2838.405366679806 34043.225874448784 120.2666666667 120.2666666667 10127847 0.03986108734244833 0.042371208876123514 162 0 4 0 4 0 0
65 8.840115836005372E-6 2838.4101333174444 36881.636007766225 123.7333333334 123.7333333334 10972634 0.04014825516475732 0.0435924787193401 162 0 4 0 4 0 0
70 8.782959914644776E-6 2838.409033337 39720.04504110323 122.9333333333 122.9333333333 11817420 0.040374240890393966 0.04331064758089935 162 0 4 0 4 0 0
75 8.725803993291323E-6 2838.407933337 42558.45297444023 122.13333333329999 122.13333333329999 12662205 0.040551286040321564 0.043028816224351805 162 0 4 0 4 0 0
80 8.906797744248685E-6 2838.4114166550557 45396.86439109528 124.6666666667 124.6666666667 13506993 0.040761992958918414 0.043921281437633956 162 0 4 0 4 0 0
85 8.706752019504458E-6 2838.4075666795 48235.27195777478 121.86666666659998 121.86666666659998 14351779 0.04088985618366541 0.042934872390142764 162 0 4 0 4 0 0
90 8.582914189907693E-6 2838.4051833412777 51073.67714111606 120.13333333329999 120.13333333329999 15196565 0.04096957148562527 0.04232423687723222 162 0 4 0 4 0 0
95 8.749618960526693E-6 2838.408391655972 53912.08553277203 122.4666666667 122.4666666667 16041353 0.041084170857886564 0.043146245983035236 162 0 4 0 4 0 0
100 8.730566986739827E-6 2838.408025001222 56750.49355777325 122.2 122.2 16886138 0.041182608058803 0.043052302179122884 162 0 4 0 4 0 0
105 8.611492150591564E-6 2838.4057333409723 59588.89929111423 120.5333333334 120.5333333334 17730925 0.041243699680710205 0.042465152855904464 162 0 4 0 4 0 0
110 8.987768632830361E-6 2838.4129749758613 62427.312266090084 125.8 125.8 18575711 0.04138359594363178 0.044320541481836284 162 0 4 0 4 0 0
115 8.668648071945017E-6 2838.4068333538057 65265.7190994439 121.3333333334 121.3333333334 19420497 0.04144288973326039 0.0427469846491438 162 0 4 0 4 0 0
120 8.687700045731881E-6 2838.4071999987777 68104.12629944268 121.6000000001 121.6000000001 20265283 0.04150115644348894 0.0428409285320839 162 0 4 0 4 0 0
125 8.654359091606655E-6 2838.4065583354723 70942.53285777816 121.13333333340002 121.13333333340002 21110071 0.04154818293903826 0.04267652672154065 162 0 4 0 4 0 0
130 8.806774881872999E-6 2838.409491656889 73780.94234943506 123.2666666666 123.2666666666 21954857 0.04162050391626386 0.04342807724851727 162 0 4 0 4 0 0
135 9.344993141289438E-6 2838.4198499654726 76619.36219940052 130.8 130.8 22799641 0.041785782445802576 0.04608197761919933 162 0 4 0 4 0 0
140 8.73532998018833E-6 2838.408116705778 79457.77031610631 122.2666666667 122.2666666667 23644430 0.04183186431539273 0.043075788131764936 162 0 4 0 4 0 0
145 8.763907940865055E-6 2838.408666664833 82296.17898277113 122.6666666667 122.6666666667 24489215 0.041879627656288124 0.04321670381976212 162 0 4 0 4 0 0
150 8.663885078496514E-6 2838.406741673084 85134.58572444422 121.2666666667 121.2666666667 25334001 0.04190776251085929 0.042723498674900974 162 0 4 0 4 0 0
155 8.844878829446731E-6 2838.410224988389 87972.9959494326 123.8 123.8 26178788 0.041962876905117026 0.043615964637566236 162 0 4 0 4 0 0
160 8.88774577046182E-6 2838.4110499972494 90811.40699942983 124.39999999999998 124.39999999999998 27023574 0.04202115269532558 0.04382733783400418 162 0 4 0 4 0 0
165 8.954427678712277E-6 2838.4123333290554 93649.81933275888 125.33333333339999 125.33333333339999 27868360 0.042085861578967446 0.04415614034004769 162 0 4 0 4 0 0
170 9.035398567286809E-6 2838.413891661472 96488.23322442037 126.46666666659999 126.46666666659999 28713146 0.042158508494389894 0.04455540012615019 162 0 4 0 4 0 0
175 8.93537570492541E-6 2838.4119666730835 99326.64519109346 125.06666666669999 125.06666666669999 29557933 0.04221290932156712 0.044062196797067216 162 0 4 0 4 0 0
180 8.878219783564815E-6 2838.410866670333 102165.0560577638 124.2666666666 124.2666666666 30402718 0.04225645734381828 0.04378036602303952 162 0 4 0 4 0 0
185 8.802011888438787E-6 2838.409400004889 105003.46545776869 123.2000000001 123.2000000001 31247505 0.04228749321725629 0.043404591317900726 162 0 4 0 4 0 0
190 8.878219783571961E-6 2838.4108666617776 107841.87632443047 124.26666666670002 124.26666666670002 32092291 0.04232678580506518 0.043780366023206715 162 0 4 0 4 0 0
195 8.782959914651921E-6 2838.4090333394447 110680.28535776993 122.93333333340001 122.93333333340001 32937076 0.04235201705689158 0.04331064758089728 162 0 4 0 4 0 0
200 9.535512879129514E-6 2838.423516618388 113518.7088743883 133.4666666666 133.4666666666 33781863 0.04246877054719741 0.047021406736936895 162 0 4 0 4 0 0
205 8.892508763903177E-6 2838.411141707916 116357.12001609622 124.46666666659999 124.46666666659999 34626648 0.04250248429991194 0.0438508237364466 162 0 4 0 4 0 0
210 8.763907940865055E-6 2838.408666674917 119195.52868277115 122.66666666670001 122.66666666670001 35471434 0.042519492042543044 0.043216703819608585 162 0 4 0 4 0 0
215 8.925849718035551E-6 2838.4117833229448 122033.9404660941 124.93333333339999 124.93333333339999 36316221 0.042554281594390043 0.04401522501683664 162 0 4 0 4 0 0
220 8.87821978357196E-6 2838.410866669722 124872.35133276382 124.26666666669999 124.26666666669999 37161007 0.04258215110536438 0.04378036602308417 162 0 4 0 4 0 0
225 8.85440481633659E-6 2838.410408334861 127710.76174109869 123.9333333333 123.9333333333 38005793 0.042606171887831924 0.043662936469432145 162 0 4 0 4 0 0
230 8.882982777013318E-6 2838.4109583315 130549.17269943019 124.33333333330002 124.33333333330002 38850579 0.04263221194679231 0.04380385192931567 162 0 4 0 4 0 0
235 8.85440481633659E-6 2838.4104083351663 133387.58310776536 123.9333333333 123.9333333333 39695365 0.0426541451668493 0.043662936469427455 162 0 4 0 4 0 0
