Time_minutes Average_cpu_utilization intermediate_powerdraw_kJ total_powerdraw_kJ cpu_demand cpu_usage cpu_idle_time overall_power_efficiency intermediate_power_efficiency hosts_up hosts_down servers_active servers_pending attemps_success attempts_failure attemps_error
5 0.0 2820.72 2820.72 0.0 0.0 835200 0.0 0.0 162 0 0 4 0 0 0
10 8.806774881880144E-6 2838.4094905367224 5659.129490536721 123.26666666669999 123.26666666669999 1679985 0.02178191307918087 0.04342807726569121 162 0 4 0 4 0 0
15 8.64959609815815E-6 2838.4064666767504 8497.535957213473 121.06666666669999 121.06666666669999 2524771 0.02875343329685918 0.042653040742415826 162 0 4 0 4 0 0
20 8.668648071945017E-6 2838.406833332111 11335.942790545585 121.33333333339999 121.33333333339999 3369557 0.032257278765712695 0.04274698464947052 162 0 4 0 4 0 0
25 8.706752019511604E-6 2838.407566664222 14174.350357209807 121.86666666670001 121.86666666670001 4214345 0.0343954622996542 0.042934872390409114 162 0 4 0 4 0 0
30 8.85440481633659E-6 2838.410408323861 17012.76076553367 123.9333333333 123.9333333333 5059130 0.03594164845399911 0.043662936469601364 162 0 4 0 4 0 0
35 9.483119951224565E-6 2838.422508293 19851.18327382667 132.7333333333 132.7333333333 5903916 0.03748894913389422 0.046763063971446785 162 0 4 0 4 0 0
40 8.878219783564814E-6 2838.4108667054716 22689.594140532143 124.26666666659999 124.26666666659999 6748701 0.03827598948168456 0.043780366022497526 162 0 4 0 4 0 0
45 8.663885078496514E-6 2838.4067416804173 25528.00088221256 121.26666666669999 121.26666666669999 7593488 0.03877049902575912 0.04272349867479059 162 0 4 0 4 0 0
50 8.849641822888088E-6 2838.4103166547497 28366.411198867314 123.8666666666 123.8666666666 8438274 0.03925769785232707 0.043639450554345816 162 0 4 0 4 0 0
55 8.797248894990285E-6 2838.4093083366943 31204.820507204007 123.13333333339999 123.13333333339999 9283061 0.03963276549044353 0.04338110538594451 162 0 4 0 4 0 0
