Time_minutes Average_cpu_utilization intermediate_powerdraw_kJ total_powerdraw_kJ cpu_demand cpu_usage cpu_idle_time overall_power_efficiency intermediate_power_efficiency hosts_up hosts_down servers_active servers_pending attemps_success attempts_failure attemps_error
5 0.0 1857.12 1857.12 0.0 0.0 63900 0.0 0.0 107 0 0 98 0 0 0
10 0.02778707127665948 1898.3378789971914 3755.4578789971915 38257.682425000006 25695.2284 127728 6.842102675070162 13.535645410802033 107 0 98 0 98 0 0
15 0.02778707127665948 2025.1868405103282 5780.644719507519 38257.682425000006 25695.2284 191557 8.89009086245629 12.687831011940133 107 0 98 0 98 0 0
20 0.02778707127665948 2025.1872633413464 7805.831982848865 38257.682425000006 25695.2284 255386 9.875396417623934 12.687828362896955 107 0 98 0 98 0 0
25 0.02778707127665948 2025.1872633413464 9831.019246190212 38257.682425000006 25695.2284 319216 10.454756625548304 12.687828362896955 107 0 98 0 98 0 0
30 0.02778707127665948 2025.1872633413461 11856.206509531557 38257.682425000006 25695.2284 383045 10.83619300125333 12.687828362896957 107 0 98 0 98 0 0
35 0.02778707127665948 2025.1872633413461 13881.393772872905 38257.682425000006 25695.2284 446874 11.106332182671926 12.687828362896957 107 0 98 0 98 0 0
40 0.02778707127665948 2025.1872633413461 15906.581036214251 38257.682425000006 25695.2284 510704 11.307684435171875 12.687828362896957 107 0 98 0 98 0 0
45 0.02778707127665948 2025.1872633413461 17931.7682995556 38257.682425000006 25695.2284 574533 11.463555839336514 12.687828362896957 107 0 98 0 98 0 0
50 0.02778707127665948 2025.1872633413464 19956.955562896947 38257.682425000006 25695.2284 638362 11.587792279797549 12.687828362896955 107 0 98 0 98 0 0
55 0.02778707127665948 2025.1872633413464 21982.142826238298 38257.682425000006 25695.2284 702192 11.689137225207041 12.687828362896955 107 0 98 0 98 0 0
60 0.02778707127665948 2025.1872633413464 24007.330089579642 38257.682425000006 25695.2284 766021 11.77338385173797 12.687828362896955 107 0 98 0 98 0 0
65 0.02778707127665948 2025.1872633413464 26032.517352920986 38257.682425000006 25695.2284 829850 11.84452262606107 12.687828362896955 107 0 98 0 98 0 0
70 0.02778707127665948 2025.1872633413464 28057.70461626233 38257.682425000006 25695.2284 893680 11.905391897468 12.687828362896955 107 0 98 0 98 0 0
